codice_articolo,famiglia,capitolo,sottocapitolo,descrizione,unita_misura,prezzo_senza_sg_ut,spese_generali,oneri_sicurezza_impresa,utile_impresa,prezzo_finale,quota_manodopera,incidenza_manodopera
SAR24_AT.0002.0017.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,"NOLO DI ATTREZZATURA per il controllo della resistenza del calcestruzzo in opera mediante la prova di estrazione pull out,  in conformità alla norma UNI EN 12504-3:2005, comprendente: Martinetto oleodinamico; Pompa oleodinamica a leva manuale con manometro digitale; Punta al widia; Smerigliatrice; Stelo di estrazione.",ora,54.82693,8.22404,0.12336,6.3051,69.36,,
SAR24_AT.0002.0017.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CAROTATRICE manuale foro 8÷35 mm,ora,10.28005,1.54201,0.02313,1.18221,13.0,,
SAR24_AT.0002.0017.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CAROTATRICE manuale foro 60÷200 mm,ora,20.5601,3.08402,0.04626,2.36441,26.01,,
SAR24_AT.0002.0017.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI PACOMETRO,ora,20.5601,3.08402,0.04626,2.36441,26.01,,
SAR24_AT.0002.0017.0007,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI ENDOSCOPIO completo di macchina fotografica e telecamera a colori,ora,39.97797,5.9967,0.08995,4.59747,50.57,,
SAR24_AT.0002.0017.0008,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,"NOLO DI TRAPANO elettrico a rotazione, per murature e calcestruzzi.",ora,1.47946,0.22192,0.00333,0.17014,1.87,,
SAR24_AT.0002.0017.0009,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,"NOLO DI KIT PER PROVA DI MARTINETTI piatti completo di pompa manuale oleodinamica, sega per taglio murature ed estensimetri di precisione",giorno,685.33668,102.8005,1.54201,78.81372,866.95,,
SAR24_AT.0002.0017.0010,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI MARTINETTO per prova a spinta,giorno,137.06734,20.5601,0.3084,15.76274,173.39,,
SAR24_AT.0002.0017.0011,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CENTRALINA per prova di carico su elementi orizzontali e sub-orizzontali completa di sensori di deformazione e aste telescopiche,giorno,399.77973,59.96696,0.8995,45.97467,505.72,,
SAR24_AT.0002.0017.0012,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI SERBATOIO completo di raccorderia idraulica,giorno,171.33417,25.70013,0.3855,19.70343,216.74,,
SAR24_AT.0002.0017.0013,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTO GALVANICO,ora,41.1202,6.16803,0.09252,4.72882,52.02,,
SAR24_AT.0002.0017.0014,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTO ECOMETRICO,ora,68.53367,10.28005,0.1542,7.88137,86.7,,
SAR24_AT.0002.0017.0015,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI MARTINETTO per prova a tiro,giorno,137.06734,20.5601,0.3084,15.76274,173.39,,
SAR24_AT.0002.0017.0016,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,TASSELLO per prova di espansione (pull out),cad.,25.12901,3.76935,0.05654,2.88984,31.79,,
SAR24_AT.0002.0017.0017,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,MARTINETTO PIATTO,cad.,285.55695,42.83354,0.6425,32.83905,361.23,,
SAR24_AT.0002.0017.0018,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,SOLUZIONE di fenolftaleina all'1%,l,182.75645,27.41347,0.4112,21.01699,231.19,,
SAR24_AT.0002.0017.0019,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,PROVA DI SCHIACCIAMENTO carota in calcestruzzo - diametri da 60 mm a 200 mm,cad.,66.24921,9.93738,0.14906,7.61866,83.81,,
SAR24_AT.0002.0017.0020,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,"PROVA DI SCHIACCIAMENTO carota in calcestruzzo, diametri fino a 30 mm",cad.,89.09377,13.36407,0.20046,10.24578,112.7,,
SAR24_AT.0002.0017.0021,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,"PROVA DI TRAZIONE su barre d'acciaio lisce o ad aderenza migliorata, con determinazione dello snervamento, rottura, allungamento",cad.,74.24481,11.13672,0.16705,8.53815,93.92,,
SAR24_AT.0003.0001.0001,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,"BARCA APPOGGIO CON GUIDA E SOMMOZZATORE, già funzionante in cantiere, compresi i consumi, la manutenzione, l’assicurazione e gli operatori",ora,76.77946,11.51692,0.17275,8.82964,97.13,,
SAR24_AT.0003.0001.0002,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,"BARCA APPOGGIO ATTREZZATA CON GUIDE E PALOMBARO, già funzionante in cantiere, compresi i consumi, la manutenzione, l’assicurazione e gli operatori",ora,134.43477,20.16522,0.30248,15.46,170.06,,
SAR24_AT.0003.0001.0003,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,"RIMORCHIATORE, già funzionante in cantiere, compresi i consumi di carburanti e lubrificanti, i ricambi, la manutenzione, l’assicurazione, bolli e compreso l’equipaggio potenza HP 250",ora,160.81977,24.12297,0.36184,18.49427,203.44,,
SAR24_AT.0003.0001.0004,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,"Noleggio di motobarca di supporto rilievi ai sommozzatori, per un impegno minimo di ore 4, completa di personale e di tutte le attrezzature necessarie secondo le vigenti norme di sicurezza",ora,201.74505,30.26176,0.45393,23.20068,255.21,,
SAR24_AT.0003.0001.0005,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Apparecchiature Subacquee  Conformi alla Norma UNI 11366. Kit Attrezzatura subacquea composto da: Nr 1 - Centralina tipo Amron Ammbird per 2 Ombelicali Nr 2 - Caschetti tipo KM 17 o silmilare Nr 2 - Imbracature porta bombola R-Vest Nr 10 - Bibombole per riserva minima di aria sub - 10 Bibomb. per squadra x 20 l x 200 BAR = 40 m3,ora,101.1,15.165,0.22748,11.6265,127.89,,
SAR24_AT.0003.0001.0006,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Nr 1 - Barella a lettiga per gommone di emergenza; Nr 1 - Cassetta Pronto Soccorso Jub tab C; Nr 1 - Bombola O2 con inalatore normobarico,ora,3.033,0.45495,0.00682,0.3488,3.84,,
