codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_AT.0002.0012.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di infissione aghi. aghi e punte filtranti,ATTREZZATURA di INFISSIONE AGHI costituita da una motopompa tipo JETTING J70-250 completa di accessori d’uso già funzionante in cantiere. escluso l’operatore. i consumi. i ricambi e gli oneri di manutenzione a giorno solare
SAR24_AT.0002.0013.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per trivellazioni,"""TRIVELLA OLEODINAMICA per esecuzione di prefiltri. già funzionante in cantiere. da applicare al braccio di adeguato escavatore. con attacchi da 3/4"""" F GAS. con pressione max di esercizio di 180 Atm. escluso il nolo dell’escavatore. gli operatori. i consumi. i ricambi e gli oneri di manutenzione; valutata a giorno solare"""
SAR24_AT.0002.0014.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per movimento materie e scavi,"""MACCHINA SPINGITUBO per scavo di cunicolo e di spinta del controtubo per attraversamenti con utilizzo di tecnologia """"Spingitubo Oleodinamica a coclee elicoidali"""" per tubi in acciaio del diametro dal Dn 300 al Dn 1500 mm. costituita da adeguata centralina idraulica. macchina spingitubo. coclea di estrazione e fresa a tutto diametro. già funzionante in cantiere. escluso gli operatori addetti. i consumi. i ricambi e gli oneri di manutenzione"""
SAR24_AT.0002.0014.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per movimento materie e scavi,MACCHINA SPINGITUBO oleodinamica. dotata di sistema di spinta mediante martinetti idraulici di adeguata portata al diametro ed allo sforzo di spinta utilizzata per tubi di diametro ø 1600-2800 Sistema di smarino meccanico ottenuto attraverso nastro trasportatore/carrello elettrico. già funzionante in cantiere. escluso gli operatori addetti. i consumi. i ricambi e gli oneri di manutenzione
SAR24_AT.0002.0015.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Compressore e motocompressore,NOLO A FREDDO DI COMPRESSORE A PISTOLA
SAR24_AT.0002.0016.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MARTELLO BATTIPALO  ad aria compressa per l'impiego all'aperto
SAR24_AT.0002.0016.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MARTELLO PERFORATORE
SAR24_AT.0002.0016.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MACCHINA TRACCIALINEE SEMOVENTE PER LA POSA DELLA SEGNALETICA ORIZZONTALE
SAR24_AT.0002.0017.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI SCLEROMETRO manuale o elettronico
SAR24_AT.0002.0017.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTAZIONE per indagini soniche ed ultrasoniche
SAR24_AT.0002.0017.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI ATTREZZATURA per il controllo della resistenza del calcestruzzo in opera mediante la prova di estrazione pull out.  in conformità alla norma UNI EN 12504-3:2005. comprendente: Martinetto oleodinamico; Pompa oleodinamica a leva manuale con manometro digitale; Punta al widia; Smerigliatrice; Stelo di estrazione
SAR24_AT.0002.0017.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CAROTATRICE manuale foro 8÷35 mm
SAR24_AT.0002.0017.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CAROTATRICE manuale foro 60÷200 mm
SAR24_AT.0002.0017.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI PACOMETRO
SAR24_AT.0002.0017.0007,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI ENDOSCOPIO completo di macchina fotografica e telecamera a colori
SAR24_AT.0002.0017.0008,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI TRAPANO elettrico a rotazione. per murature e calcestruzzi
SAR24_AT.0002.0017.0009,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI KIT PER PROVA DI MARTINETTI piatti completo di pompa manuale oleodinamica. sega per taglio murature ed estensimetri di precisione
SAR24_AT.0002.0017.0010,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI MARTINETTO per prova a spinta
SAR24_AT.0002.0017.0011,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI CENTRALINA per prova di carico su elementi orizzontali e sub-orizzontali completa di sensori di deformazione e aste telescopiche
SAR24_AT.0002.0017.0012,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI SERBATOIO completo di raccorderia idraulica
SAR24_AT.0002.0017.0013,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTO GALVANICO
SAR24_AT.0002.0017.0014,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTO ECOMETRICO
SAR24_AT.0002.0017.0015,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI MARTINETTO per prova a tiro
SAR24_AT.0002.0017.0016,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,TASSELLO per prova di espansione (pull out)
SAR24_AT.0002.0017.0017,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,MARTINETTO PIATTO
SAR24_AT.0002.0017.0018,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,SOLUZIONE di fenolftaleina all'1%
SAR24_AT.0002.0017.0019,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,PROVA DI SCHIACCIAMENTO carota in calcestruzzo - diametri da 60 mm a 200 mm
SAR24_AT.0002.0017.0020,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,PROVA DI SCHIACCIAMENTO carota in calcestruzzo. diametri fino a 30 mm
SAR24_AT.0002.0017.0021,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,PROVA DI TRAZIONE su barre d'acciaio lisce o ad aderenza migliorata. con determinazione dello snervamento. rottura. allungamento
SAR24_AT.0003.0001.0001,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,BARCA APPOGGIO CON GUIDA E SOMMOZZATORE. già funzionante in cantiere. compresi i consumi. la manutenzione. l’assicurazione e gli operatori
